StoreKey,StoreName,City,Manager,ManagerName
PROD0001,DMart Bangalore,Bangalore,Ravi Kumar,Default Manager
PROD0002,DMart Mumbai,Mumbai,Amit Deshmukh,Rahul Deshmukh
PROD0003,DMart Pune,Pune,Sneha Patil,Sneha Patil
PROD0004,DMart Chennai,Chennai,Hari Krishnan,Default Manager
PROD0005,DMart Delhi,Delhi,Rohit Sharma,Default Manager
PROD0006,DMart Chennai,Chennai,Hari Krishnan,Default Manager
PROD0007,DMart Mumbai,Mumbai,Amit Deshmukh,Rahul Deshmukh
PROD0008,DMart Pune,Pune,Sneha Patil,Sneha Patil
PROD0009,DMart Delhi,Delhi,Rohit Sharma,Default Manager
PROD0010,DMart Mumbai,Mumbai,Amit Deshmukh,Rahul Deshmukh
